시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 외인5m, 기관5m, 거래량, 거래량(부호),ResQty, 콜(종가), 풋(종가) ,외인(ko), 기관(ko), 외인(ko)5m, 기관(ko)5m
090100, 303, 303.9, 303.95, 302.65, 0.899994, 15.195, 132.467, 5.065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5796, 5796, 0, 4.14, 1.52, 0, 0, 0, 0
090200, 303.9, 303.3, 304.2, 303.3, -0.600006, 30.36, 182.16, 10.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4015, -4015, 0, 3.83, 1.58, 0, 0, 0, 0
090300, 303.25, 303, 303.3, 302.7, -0.25, 45.51, 216.671, 15.17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4387, -4387, 0, 3.71, 1.64, 0, 0, 0, 0
090400, 303, 302.3, 303, 302.1, -0.700012, 60.625, 242.5, 20.2083, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3630, -3630, 0, 3.41, 1.76, 0, 0, 0, 0
090500, 302.3, 302.2, 302.5, 302.1, -0.0999756, 75.735, 262.354, 25.245, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2889, -2889, 0, 3.39, 1.8, 0, 0, 0, 0
090600, 302.2, 301.7, 302.2, 301.65, -0.5, 90.82, 277.461, 30.2733, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2559, -2559, 0, 3.18, 1.9, 0, 0, 0, 0
090700, 301.65, 301.65, 301.75, 301.4, 0, 105.902, 288.643, 35.3008, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2190, 2190, 0, 3.18, 1.93, 0, 0, 0, 0
090800, 301.65, 301.7, 301.9, 301.55, 0.0500183, 120.988, 296.359, 40.3292, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2058, 2058, 0, 3.24, 1.91, 0, 0, 0, 0
090900, 301.75, 301.65, 301.85, 301.5, -0.100006, 136.07, 300.864, 45.3567, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1589, -1589, 0, 3.21, 1.92, 0, 0, 0, 0
091000, 301.65, 300.95, 301.7, 300.95, -0.699982, 151.117, 302.237, 50.3725, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2354, -2354, 0, 2.97, 2.08, 0, 0, 0, 0
091100, 300.95, 300.85, 301.25, 300.8, -0.100006, 166.16, 300.598, 55.3867, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2297, -2297, 0, 2.95, 2.14, 0, 0, 0, 0
091200, 300.85, 301, 301, 300.75, 0.149994, 181.21, 295.918, 60.4033, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1705, 1705, 0, 2.97, 2.11, 0, 0, 0, 0
091300, 300.95, 301.2, 301.35, 300.9, 0.25, 196.27, 288.049, 65.4233, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1816, 1816, 0, 3.04, 2.03, 0, 0, 0, 0
091400, 301.15, 301.05, 301.3, 301, -0.100006, 211.323, 276.69, 70.4408, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1127, -1127, 0, 3, 2.06, 0, 0, 0, 0
091500, 301.1, 301.3, 301.35, 301.05, 0.199982, 226.387, 261.414, 75.4625, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1165, 1165, 0, 3.09, 2.02, 0, 0, 0, 0
091600, 301.3, 300.95, 301.35, 300.9, -0.349976, 241.435, 241.44, 80.4783, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1639, -1639, 0, 2.95, 2.08, 0, 0, 0, 0
091700, 300.95, 300.7, 301.05, 300.6, -0.25, 256.47, 215.484, 85.49, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1422, -1422, 0, 2.84, 2.16, 0, 0, 0, 0
091800, 300.65, 300.95, 301.05, 300.6, 0.300018, 271.517, 181.02, 90.5058, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1707, 1707, 0, 2.93, 2.09, 0, 0, 0, 0
091900, 300.95, 301, 301.2, 300.9, 0.0499878, 286.567, 131.497, 95.5225, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1091, 1091, 0, 2.96, 2.07, 0, 0, 0, 0
092000, 301.05, 301.05, 301.15, 301, 0, 301.62, 1.74481, 100.54, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1193, -1193, 0, 2.99, 2.05, 0, 0, 0, 0
092100, 301.05, 301, 301.05, 300.75, -0.0499878, 301.475, 1.41332, 105.557, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1534, -1534, 0, 2.95, 2.07, 0, 0, 0, 0
092200, 301, 301, 301.05, 300.9, 0, 301.36, 1.15048, 110.573, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 741, 741, 0, 2.96, 2.06, 0, 0, 0, 0
092300, 301, 300.75, 301.15, 300.7, -0.25, 301.247, 0.899706, 115.586, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1437, -1437, 0, 2.86, 2.13, 0, 0, 0, 0
092400, 300.8, 300.9, 300.95, 300.7, 0.100006, 301.178, 0.769726, 120.601, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1496, 1496, 0, 2.91, 2.09, 0, 0, 0, 0
092500, 300.9, 300.6, 300.95, 300.55, -0.299988, 301.098, 0.651516, 125.611, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 782, -782, 0, 2.83, 2.15, 0, 0, 0, 0
092600, 300.6, 300.4, 300.8, 300.35, -0.200012, 301.033, 0.657474, 130.618, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1091, -1091, 0, 2.75, 2.21, 0, 0, 0, 0
092700, 300.4, 300.6, 300.7, 300.4, 0.200012, 300.98, 0.618384, 135.628, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1093, 1093, 0, 2.81, 2.16, 0, 0, 0, 0
092800, 300.55, 300.7, 300.75, 300.5, 0.150024, 300.93, 0.533286, 140.639, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 565, 565, 0, 2.84, 2.13, 0, 0, 0, 0
092900, 300.7, 300.25, 300.7, 300.25, -0.450012, 300.86, 0.503584, 145.643, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1275, -1275, 0, 2.7, 2.23, 0, 0, 0, 0
093000, 300.25, 300.25, 300.4, 300.15, 0, 300.825, 0.567007, 150.648, 0, 11, 300.25, 30, 303.9, 1, 0, 0, 0, 0, 1198, -1198, 0, 2.71, 2.24, 0, 0, 0, 0
093100, 300.25, 300.4, 300.4, 300.2, 0.149994, 300.803, 0.596216, 155.654, 0, 11, 300.25, 30, 303.3, 2, 0, 0, 0, 0, 1186, 1186, 0, 2.74, 2.21, 0, 0, 0, 0
093200, 300.35, 300.05, 300.4, 300, -0.300018, 300.755, 0.672237, 160.655, 0, 12, 300.05, 32, 303, 3, 0, 0, 0, 0, 1239, -1239, 0, 2.64, 2.28, 0, 0, 0, 0
093300, 300.05, 299.8, 300.15, 299.75, -0.25, 300.685, 0.758356, 165.652, 0, 13, 299.8, 33, 302.3, 4, 0, 0, 0, 0, 1621, -1621, 0, 2.55, 2.36, 0, 0, 0, 0
093400, 299.8, 299.85, 300, 299.7, 0.0500183, 300.625, 0.820673, 170.649, 0, 13, 299.8, 33, 302.2, 5, 0, 0, 0, 0, 1452, 1452, 0, 2.58, 2.32, 0, 0, 0, 0
093500, 299.9, 299.75, 300, 299.75, -0.149994, 300.548, 0.843494, 175.645, 0, 14, 299.75, 35, 301.7, 8, 0, 0, 0, 0, 1090, -1090, 0, 2.53, 2.37, 0, 0, 0, 0
093600, 299.75, 300.05, 300.05, 299.75, 0.299988, 300.503, 0.848812, 180.646, 0, 14, 299.75, 35, 301.7, 8, 0, 0, 0, 0, 1241, 1241, 0, 2.61, 2.3, 0, 0, 0, 0
093700, 300.05, 300.4, 300.4, 300, 0.350006, 300.487, 0.844915, 185.653, 0, 14, 299.75, 35, 301.7, 8, 0, 0, 0, 0, 1316, 1316, 0, 2.72, 2.18, 0, 0, 0, 0
093800, 300.4, 300.3, 300.4, 300.25, -0.100006, 300.455, 0.820917, 190.658, 0, 14, 299.75, 35, 301.65, 9, 0, 0, 0, 0, 1028, -1028, 0, 2.69, 2.21, 0, 0, 0, 0
093900, 300.3, 300.2, 300.4, 300.2, -0.0999756, 300.415, 0.788101, 195.661, 0, 14, 299.75, 35, 301.3, 15, 0, 0, 0, 0, 573, -573, 0, 2.67, 2.22, 0, 0, 0, 0
094000, 300.25, 300.1, 300.25, 300.05, -0.149994, 300.367, 0.742482, 200.663, 0, 14, 299.75, 35, 301.3, 15, 0, 0, 0, 0, 883, -883, 0, 2.62, 2.26, 0, 0, 0, 0
094100, 300.1, 300.25, 300.35, 300, 0.149994, 300.33, 0.684401, 205.667, 0, 14, 299.75, 35, 301.3, 15, 0, 0, 0, 0, 1282, 1282, 0, 2.66, 2.23, 0, 0, 0, 0
094200, 300.25, 300.25, 300.35, 300.2, 0, 300.293, 0.611783, 210.671, 0, 14, 299.75, 35, 301.3, 15, 0, 0, 0, 0, 736, -736, 0, 2.66, 2.22, 0, 0, 0, 0
094300, 300.25, 300.15, 300.25, 300.05, -0.100006, 300.263, 0.576957, 215.673, 0, 14, 299.75, 35, 301.3, 15, 0, 0, 0, 0, 474, -474, 0, 2.63, 2.23, 0, 0, 0, 0
094400, 300.2, 300, 300.2, 300, -0.200012, 300.218, 0.507228, 220.673, 0, 14, 299.75, 35, 301.3, 15, 0, 0, 0, 0, 573, -573, 0, 2.58, 2.28, 0, 0, 0, 0
094500, 300, 300.15, 300.2, 300, 0.149994, 300.195, 0.476344, 225.676, 0, 14, 299.75, 35, 301.05, 20, 0, 0, 0, 0, 739, 739, 0, 2.63, 2.25, 0, 0, 0, 0
094600, 300.15, 300.2, 300.25, 300.05, 0.0500183, 300.185, 0.467016, 230.679, 0, 14, 299.75, 35, 301.05, 20, 0, 0, 0, 0, 693, 693, 0, 2.64, 2.25, 0, 0, 0, 0
094700, 300.2, 300.25, 300.35, 300.1, 0.0499878, 300.167, 0.42811, 235.683, 0, 14, 299.75, 35, 301.05, 20, 0, 0, 0, 0, 899, 899, 0, 2.65, 2.23, 0, 0, 0, 0
094800, 300.25, 300.3, 300.35, 300.1, 0.0499878, 300.147, 0.358433, 240.688, 0, 14, 299.75, 35, 301.05, 20, 0, 0, 0, 0, 711, 711, 0, 2.66, 2.23, 0, 0, 0, 0
094900, 300.3, 300.65, 300.65, 300.25, 0.350006, 300.167, 0.418657, 245.699, 0, 14, 299.75, 35, 301.05, 20, 0, 0, 0, 0, 1379, 1379, 0, 2.76, 2.14, 0, 0, 0, 0
095000, 300.6, 300.75, 300.75, 300.6, 0.149994, 300.192, 0.489157, 250.712, 0, 14, 299.75, 35, 301, 22, 0, 0, 0, 0, 1021, 1021, 0, 2.79, 2.1, 0, 0, 0, 0
095100, 300.75, 300.65, 300.8, 300.55, -0.100006, 300.205, 0.521439, 255.723, 0, 14, 299.75, 35, 301, 22, 0, 0, 0, 0, 824, -824, 0, 2.78, 2.12, 0, 0, 0, 0
095200, 300.7, 300.55, 300.75, 300.5, -0.150024, 300.23, 0.537026, 260.732, 0, 14, 299.75, 35, 300.9, 24, 0, 0, 0, 0, 605, -605, 0, 2.74, 2.14, 0, 0, 0, 0
095300, 300.55, 300.5, 300.6, 300.4, -0.0499878, 300.265, 0.510975, 265.74, 0, 14, 299.75, 35, 300.9, 24, 0, 0, 0, 0, 834, -834, 0, 2.71, 2.14, 0, 0, 0, 0
095400, 300.5, 300.4, 300.5, 300.25, -0.100006, 300.292, 0.47673, 270.747, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 576, -576, 0, 2.68, 2.18, 0, 0, 0, 0
095500, 300.35, 300.35, 300.35, 300.2, 0, 300.322, 0.406783, 275.753, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 503, 503, 0, 2.65, 2.18, 0, 0, 0, 0
095600, 300.35, 300.2, 300.35, 300.1, -0.149994, 300.33, 0.391658, 280.756, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 681, -681, 0, 2.61, 2.21, 0, 0, 0, 0
095700, 300.15, 300.4, 300.4, 300.15, 0.25, 300.33, 0.391658, 285.763, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 330, 330, 0, 2.67, 2.17, 0, 0, 0, 0
095800, 300.4, 300.7, 300.8, 300.4, 0.300018, 300.35, 0.423081, 290.774, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 670, 670, 0, 2.77, 2.07, 0, 0, 0, 0
095900, 300.7, 300.6, 300.75, 300.6, -0.100006, 300.37, 0.43058, 295.784, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 634, -634, 0, 2.74, 2.11, 0, 0, 0, 0
100000, 300.6, 300.55, 300.7, 300.5, -0.0500183, 300.392, 0.418657, 300.793, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 553, -553, 0, 2.71, 2.14, 0, 0, 0, 0
100100, 300.55, 300.7, 300.75, 300.35, 0.150024, 300.415, 0.433705, 300.74, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 1722, 1722, 0, 2.77, 2.11, 0, 0, 0, 0
100200, 300.75, 300.6, 300.8, 300.6, -0.149994, 300.432, 0.433908, 300.695, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 608, -608, 0, 2.73, 2.12, 0, 0, 0, 0
100300, 300.6, 300.65, 300.7, 300.45, 0.0499878, 300.457, 0.423409, 300.656, 0, 14, 299.75, 35, 300.75, 50, 0, 0, 0, 0, 565, 565, 0, 2.76, 2.12, 0, 0, 0, 0
100400, 300.65, 301.1, 301.15, 300.65, 0.450012, 300.513, 0.455935, 300.636, 0, 14, 299.75, 35, 301.1, 64, 0, 0, 0, 0, 1707, 1707, 0, 2.89, 2.02, 0, 0, 0, 0
100500, 301.1, 301.4, 301.55, 301.1, 0.299988, 300.575, 0.568769, 300.622, 0, 14, 300, 44, 301.4, 65, 0, 0, 0, 0, 3300, 3300, 0, 3, 1.93, 0, 0, 0, 0
100600, 301.45, 301.45, 301.55, 301.35, 0, 300.637, 0.657936, 300.618, 0, 14, 300, 44, 301.45, 66, 0, 0, 0, 0, 1723, 1723, 0, 3.01, 1.93, 0, 0, 0, 0
100700, 301.45, 301.6, 301.65, 301.4, 0.149994, 300.705, 0.754922, 300.617, 0, 14, 300, 44, 301.6, 67, 0, 0, 0, 0, 948, 948, 0, 3.1, 1.88, 0, 0, 0, 0
100800, 301.65, 301.7, 301.8, 301.45, 0.0500183, 300.775, 0.845877, 300.617, 0, 14, 300, 44, 301.7, 68, 0, 0, 0, 0, 1587, 1587, 0, 3.13, 1.86, 0, 0, 0, 0
100900, 301.75, 301.7, 301.8, 301.65, -0.0499878, 300.827, 0.93407, 300.618, 0, 14, 300, 44, 301.7, 69, 0, 0, 0, 0, 920, -920, 0, 3.12, 1.87, 0, 0, 0, 0
101000, 301.75, 301.55, 301.75, 301.45, -0.200012, 300.867, 0.984522, 300.628, 0, 14, 300, 44, 301.7, 69, 0, 0, 0, 0, 983, -983, 0, 3.07, 1.88, 0, 0, 0, 0
101100, 301.6, 301.55, 301.7, 301.5, -0.0500183, 300.913, 1.02219, 300.64, 0, 14, 300, 44, 301.7, 69, 0, 0, 0, 0, 695, -695, 0, 3.06, 1.89, 0, 0, 0, 0
101200, 301.6, 301.5, 301.65, 301.45, -0.100006, 300.96, 1.03856, 300.648, 0, 14, 300, 44, 301.7, 69, 0, 0, 0, 0, 284, -284, 0, 3.02, 1.91, 0, 0, 0, 0
101300, 301.45, 301.45, 301.5, 301.4, 0, 301.008, 1.03696, 300.652, 0, 14, 300, 44, 301.7, 69, 0, 0, 0, 0, 375, 375, 0, 3, 1.91, 0, 0, 0, 0
101400, 301.5, 301.35, 301.55, 301.3, -0.149994, 301.055, 1.00792, 300.658, 0, 14, 300.15, 45, 301.7, 69, 0, 0, 0, 0, 839, -839, 0, 2.97, 1.92, 0, 0, 0, 0
101500, 301.35, 301.65, 301.65, 301.35, 0.299988, 301.12, 0.985088, 300.663, 0, 14, 300.2, 56, 301.7, 69, 0, 0, 0, 0, 739, 739, 0, 3.1, 1.87, 0, 0, 0, 0
101600, 301.7, 301.75, 301.75, 301.55, 0.0499878, 301.198, 0.92546, 300.677, 0, 14, 300.2, 56, 301.75, 76, 0, 0, 0, 0, 1169, 1169, 0, 3.14, 1.85, 0, 0, 0, 0
101700, 301.75, 301.75, 301.85, 301.7, 0, 301.265, 0.878692, 300.694, 0, 14, 300.2, 56, 301.75, 77, 0, 0, 0, 0, 1093, -1093, 0, 3.12, 1.86, 0, 0, 0, 0
101800, 301.75, 301.75, 301.85, 301.65, 0, 301.318, 0.862714, 300.708, 0, 14, 300.2, 56, 301.75, 78, 0, 0, 0, 0, 577, 0, 0, 3.1, 1.86, 0, 0, 0, 0
101900, 301.7, 301.65, 301.7, 301.45, -0.0500183, 301.37, 0.807714, 300.718, 0, 14, 300.2, 56, 301.75, 78, 0, 0, 0, 0, 716, -716, 0, 3.07, 1.88, 0, 0, 0, 0
102000, 301.65, 301.75, 301.75, 301.6, 0.100006, 301.43, 0.729655, 300.73, 0, 14, 300.2, 56, 301.75, 80, 0, 0, 0, 0, 383, 383, 0, 3.13, 1.86, 0, 0, 0, 0
102100, 301.75, 301.65, 301.8, 301.6, -0.100006, 301.478, 0.65305, 300.741, 0, 14, 300.2, 56, 301.75, 80, 0, 0, 0, 0, 705, -705, 0, 3.09, 1.88, 0, 0, 0, 0
102200, 301.6, 301.35, 301.6, 301.3, -0.25, 301.515, 0.519712, 300.747, 0, 14, 300.2, 56, 301.75, 80, 0, 0, 0, 0, 1087, -1087, 0, 2.98, 1.92, 0, 0, 0, 0
102300, 301.35, 301.2, 301.35, 301.1, -0.149994, 301.543, 0.370502, 300.754, 0, 14, 300.2, 56, 301.75, 80, 0, 0, 0, 0, 1116, -1116, 0, 2.91, 1.94, 0, 0, 0, 0
102400, 301.2, 301.25, 301.5, 301.2, 0.0499878, 301.55, 0.339113, 300.76, 0, 14, 300.2, 56, 301.75, 80, 0, 0, 0, 0, 726, 726, 0, 2.94, 1.94, 0, 0, 0, 0
102500, 301.25, 301.2, 301.4, 301.15, -0.0499878, 301.54, 0.366873, 300.77, 0, 14, 300.2, 56, 301.75, 80, 0, 0, 0, 0, 632, -632, 0, 2.93, 1.95, 0, 0, 0, 0
102600, 301.25, 301.6, 301.65, 301.25, 0.350006, 301.548, 0.365337, 300.79, 0, 14, 300.4, 57, 301.75, 80, 0, 0, 0, 0, 707, 707, 0, 3.07, 1.87, 0, 0, 0, 0
102700, 301.6, 301.55, 301.65, 301.5, -0.0500183, 301.545, 0.364549, 300.806, 0, 14, 300.55, 60, 301.75, 80, 0, 0, 0, 0, 793, -793, 0, 3.04, 1.89, 0, 0, 0, 0
102800, 301.6, 301.65, 301.7, 301.5, 0.0499878, 301.543, 0.360929, 300.822, 0, 14, 300.55, 60, 301.75, 80, 0, 0, 0, 0, 409, 409, 0, 3.07, 1.86, 0, 0, 0, 0
102900, 301.7, 301.75, 301.9, 301.65, 0.0499878, 301.545, 0.365916, 300.847, 0, 14, 300.55, 60, 301.75, 89, 0, 0, 0, 0, 1021, 1021, 0, 3.11, 1.84, 0, 0, 0, 0
103000, 301.8, 301.85, 301.9, 301.8, 0.0500183, 301.56, 0.389352, 300.873, 0, 14, 300.6, 62, 301.85, 90, 0, 0, 0, 0, 544, 544, 0, 3.15, 1.83, 0, 0, 0, 0
103100, 301.9, 301.85, 301.95, 301.8, -0.0499878, 301.575, 0.409262, 300.898, 0, 14, 300.6, 62, 301.85, 91, 0, 0, 0, 0, 982, -982, 0, 3.15, 1.83, 0, 0, 0, 0
103200, 301.85, 302.05, 302.1, 301.75, 0.199982, 301.603, 0.456583, 300.931, 0, 14, 300.65, 63, 302.05, 92, 0, 0, 0, 0, 1312, 1312, 0, 3.24, 1.78, 0, 0, 0, 0
103300, 302.1, 302.35, 302.35, 302.1, 0.25, 301.647, 0.5545, 300.973, 0, 14, 301.1, 64, 302.35, 93, 0, 0, 0, 0, 1646, 1646, 0, 3.35, 1.75, 0, 0, 0, 0
103400, 302.3, 302.15, 302.35, 302.05, -0.149994, 301.688, 0.577815, 301.012, 0, 14, 301.2, 85, 302.35, 93, 0, 0, 0, 0, 1135, -1135, 0, 3.29, 1.77, 0, 0, 0, 0
103500, 302.15, 302.2, 302.25, 302.1, 0.0500183, 301.715, 0.618948, 301.053, 0, 14, 301.2, 85, 302.35, 93, 0, 0, 0, 0, 846, 846, 0, 3.3, 1.77, 0, 0, 0, 0
103600, 302.2, 302.3, 302.45, 302.2, 0.0999756, 301.742, 0.669529, 301.09, 0, 14, 301.2, 85, 302.35, 93, 0, 0, 0, 0, 1211, 1211, 0, 3.32, 1.76, 0, 0, 0, 0
103700, 302.25, 302.4, 302.45, 302.2, 0.149994, 301.775, 0.728349, 301.123, 0, 14, 301.2, 85, 302.4, 97, 0, 0, 0, 0, 615, 615, 0, 3.37, 1.73, 0, 0, 0, 0
103800, 302.4, 302.45, 302.45, 302.35, 0.0500183, 301.81, 0.785236, 301.159, 0, 14, 301.2, 85, 302.45, 98, 0, 0, 0, 0, 630, 630, 0, 3.39, 1.72, 0, 0, 0, 0
103900, 302.45, 302.6, 302.6, 302.45, 0.149994, 301.858, 0.852802, 301.199, 0, 14, 301.2, 85, 302.6, 99, 0, 0, 0, 0, 867, 867, 0, 3.45, 1.7, 0, 0, 0, 0
104000, 302.6, 302.55, 302.6, 302.5, -0.0500183, 301.898, 0.902479, 301.24, 0, 14, 301.2, 85, 302.6, 99, 0, 0, 0, 0, 509, -509, 0, 3.43, 1.7, 0, 0, 0, 0
104100, 302.55, 302.35, 302.6, 302.3, -0.199982, 301.933, 0.91557, 301.275, 0, 14, 301.2, 85, 302.6, 99, 0, 0, 0, 0, 961, -961, 0, 3.33, 1.75, 0, 0, 0, 0
104200, 302.35, 302.4, 302.45, 302.35, 0.0499878, 301.985, 0.896155, 301.311, 0, 14, 301.2, 85, 302.6, 99, 0, 0, 0, 0, 381, 381, 0, 3.37, 1.73, 0, 0, 0, 0
104300, 302.4, 302.25, 302.5, 302.1, -0.149994, 302.038, 0.826361, 301.346, 0, 14, 301.2, 85, 302.6, 99, 0, 0, 0, 0, 1200, -1200, 0, 3.3, 1.76, 0, 0, 0, 0
104400, 302.2, 302.25, 302.35, 302.15, 0.0499878, 302.087, 0.746908, 301.383, 0, 14, 301.2, 85, 302.6, 99, 0, 0, 0, 0, 662, 662, 0, 3.32, 1.75, 0, 0, 0, 0
104500, 302.3, 302.2, 302.3, 302.2, -0.0999756, 302.138, 0.626799, 301.418, 0, 14, 301.2, 85, 302.6, 99, 0, 0, 0, 0, 513, -513, 0, 3.3, 1.76, 0, 0, 0, 0
104600, 302.25, 302.6, 302.6, 302.25, 0.350006, 302.187, 0.606531, 301.458, 0, 14, 301.2, 85, 302.6, 106, 0, 0, 0, 0, 1161, 1161, 0, 3.45, 1.7, 0, 0, 0, 0
104700, 302.55, 302.35, 302.6, 302.35, -0.199982, 302.228, 0.5343, 301.493, 0, 14, 301.2, 85, 302.6, 106, 0, 0, 0, 0, 578, -578, 0, 3.35, 1.74, 0, 0, 0, 0
104800, 302.35, 302.35, 302.4, 302.3, 0, 302.263, 0.465698, 301.527, 0, 14, 301.2, 85, 302.6, 106, 0, 0, 0, 0, 416, 416, 0, 3.34, 1.74, 0, 0, 0, 0
